Sample	PlateName	Row	Column	COMPLEX	MEADOW_ID	MEADOW_AREA	PROP_FOREST_50	PROP_FOREST_100	PROP_FOREST_500	STRATUM	X_COORD	Y_COORD	ELEVATION	PL_IN_5M	COVER	FLW_STATUS	NOTES	
s256	6690	G	1	CM	CMM2	1533	0.58	0.89	0.78	LgI	568478	4903084	1432	2	78	F		
s276	6690	E	10	CM	CMM2	1533	0.58	0.89	0.78	LgI	568508	4903030	1420	5	77	F		
s279	6690	D	4	CM	CMM2	1533	0.58	0.89	0.78	LgI	568456	4903095	1442	18	73	V		
s282	6690	C	1	CM	CMM2	1533	0.58	0.89	0.78	LgI	568455	4903088	1438	20	64	V		
s285	6690	G	11	CM	CMM2	1533	0.58	0.89	0.78	LgI	568469	4903094	1437	14	76	F		
s287	6690	E	12	CM	CMM2	1533	0.58	0.89	0.78	LgI	568509	4903035	1416	5	76	F		
s348	6690	H	9	CM	CMM2	1533	0.58	0.89	0.78	LgI	568510	4903033	1422	5	71	V		
s355	6689	C	11	CM	CMM2	1533	0.58	0.89	0.78	LgI	568453	4903107	1437	6	75	F		
s343	6689	B	8	CM	CMX11B	1489.2	0.7	0.86	0.93	LgI	568684	4903714	1480	5	17	F		
s344	6690	H	4	CM	CMX11B	1489.2	0.7	0.86	0.93	LgI	568691	4903711	1482	3	38	F		
s345	6690	E	11	CM	CMX11B	1489.2	0.7	0.86	0.93	LgI	568689	4903725	1484	5	35	V		
s346	6690	C	12	CM	CMX11B	1489.2	0.7	0.86	0.93	LgI	568684	4903710	1479	4	13	F		
s352	6690	D	3	CM	CMX11B	1489.2	0.7	0.86	0.93	LgI	568703	4903711	1483	4	30	V		
s357	6690	A	12	CM	CMX11B	1489.2	0.7	0.86	0.93	LgI	568742	4903715	1461	8	19	F		
s362	6690	A	3	CM	CMX11B	1489.2	0.7	0.86	0.93	LgI	568680	4903712	1478	4	17	F		
s363	6689	E	5	CM	CMX11B	1489.2	0.7	0.86	0.93	LgI	568680	4903711	1484	3	13	F		
s336	6689	H	11	CM	CMX11C	198.3	0.89	0.89	0.94	SmI	568715	4903744	1476	0	66	F		
s350	6689	C	4	CM	CMX11C	198.3	0.89	0.89	0.94	SmI	568723	4903725	1474	1	67	F		
s351	6690	F	5	CM	CMX11C	198.3	0.89	0.89	0.94	SmI	568698	4903747	1471	2	63	F		
s353	6689	B	6	CM	CMX11C	198.3	0.89	0.89	0.94	SmI	568708	4903747	1475	2	58	F		
s359	6689	A	6	CM	CMX11C	198.3	0.89	0.89	0.94	SmI	568722	4903738	1479	1	64	F		
s364	6689	F	11	CM	CMX11C	198.3	0.89	0.89	0.94	SmI	568714	4903750	1472	2	59	F		
s296	6690	E	3	CM	CMX41A	25439.3	0.21	0.24	0.86	LgC	568213	4903249	1491	8	5	F		
s313	6690	A	11	CM	CMX41A	25439.3	0.21	0.24	0.86	LgC	568279	4903198	1503	4	44	F		
s314	6690	D	2	CM	CMX41A	25439.3	0.21	0.24	0.86	LgC	568244	4903247	1496	4	79	V		
s324	6689	B	2	CM	CMX41A	25439.3	0.21	0.24	0.86	LgC	568219	4903253	1495	5	0	F		
s325	6689	H	6	CM	CMX41A	25439.3	0.21	0.24	0.86	LgC	568219	4903265	1500	7	7	F		
